fold_key	exact_spellings	readability_state	confidence	proposed_destination_if_A	meaning_and_taxonomy_question_if_B	understandable_vs_missing_if_C	opacity_reason_if_D	reasoning
flowerchokerfront	FlowerChokerFront	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
fluid	FLUID	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
fntac_3rd	fntac_3rd	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
foldsr	foldsR	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
foot_a_l	Foot_A_L	A	High	groupFile/Legs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_a_r	Foot_A_R	A	High	groupFile/Legs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_b_l	Foot_B_L	A	High	groupFile/Legs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_b_r	Foot_B_R	A	High	groupFile/Legs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_fingerbase2_l	foot_fingerbase2_L	A	Medium	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_fingerbase2_r	foot_fingerbase2_R	A	Medium	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_fingerbase_l	foot_fingerbase_L	A	Medium	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_fingerbase_r	foot_fingerbase_R	A	Medium	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_index_0_l	foot_index_0_L	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_index_0_r	foot_index_0_R	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_index_1_l	foot_index_1_L	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_index_1_r	foot_index_1_R	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_index_2_l	foot_index_2_L	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_index_2_r	foot_index_2_R	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_left	foot_left	A	High	groupFile/Legs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_middle_0_l	foot_middle_0_L	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_middle_0_r	foot_middle_0_R	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_middle_1_l	foot_middle_1_L	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_middle_1_r	foot_middle_1_R	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_middle_2_l	foot_middle_2_L	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_middle_2_r	foot_middle_2_R	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_pinky_0_l	foot_pinky_0_L	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_pinky_0_r	foot_pinky_0_R	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_pinky_1_l	foot_pinky_1_L	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_pinky_1_r	foot_pinky_1_R	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_pinky_2_l	foot_pinky_2_L	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_pinky_2_r	foot_pinky_2_R	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_right	foot_right	A	High	groupFile/Legs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_ring_0_l	foot_ring_0_L	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_ring_0_r	foot_ring_0_R	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_ring_1_l	foot_ring_1_L	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_ring_1_r	foot_ring_1_R	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_ring_2_l	foot_ring_2_L	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_ring_2_r	foot_ring_2_R	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_s_l	Foot_S_L	A	High	groupFile/Legs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foot_s_r	Foot_S_R	A	High	groupFile/Legs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
footleft	FootLeft	A	High	groupFile/Legs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
footright	FootRight	A	High	groupFile/Legs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
foottip.l	FootTip.L	B	Medium		referent word(s): ['foot'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
foottip.r	FootTip.R	B	Medium		referent word(s): ['foot'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
forearm	Forearm	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
forearm.l.001	forearm.L.001	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
forearm.r.001	forearm.R.001	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
forearmleft	ForearmLeft	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
